,id,data_set,data_set_label,indicator,period_type,period_from,period_to,country_key,country_label,bz_key,bz_short,bz_long,operator_key,operator_label,tso_eic_code,direction_key,adjacent_systems_key,adjacent_systems_label,year,month,day,unit,value,count_point_presents,flow_status,points_names,last_update_date_time,region_key,adjacent_bz_key
1844,1AggregatesDEDE-NCG-----DE-TSO-0009exitTransmission2021-01-02T09:00:00+00:002021-01-02T10:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T10:00:00+01:00,2021-01-02T11:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,2,Provisionnal,Dornum / NETRA (OGE)|Emden (EPT1) (OGE),2021-01-05T13:43:57+01:00,NWE,-----------
1845,1AggregatesDEDE-NCG-----DE-TSO-0009exitTransmission2021-01-02T09:00:00+00:002021-01-02T10:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T10:00:00+01:00,2021-01-02T11:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,2,Provisionnal,Dornum / NETRA (OGE)|Emden (EPT1) (OGE),2021-01-04T14:49:04+01:00,NWE,-----------
1846,1AggregatesDEDE-NCG-----DE-TSO-0009exitTransmission2021-01-02T09:00:00+00:002021-01-02T10:00:00+00:00Physical Flow,1,Aggregates,Physical Flow,hour,2021-01-02T10:00:00+01:00,2021-01-02T11:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,2,Provisionnal,Dornum / NETRA (OGE)|Emden (EPT1) (OGE),2021-01-05T12:41:06+01:00,NWE,-----------
1869,1AggregatesDEDE-GASPOOL-DE-TSO-0016entryTransmission2021-01-02T09:00:00+00:002021-01-02T10:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T10:00:00+01:00,2021-01-02T11:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0016,OPAL Gastransport GmbH & Co. KG,21X0000000011845,entry,Transmission,Transmission,2021,1,2,kWh/h,15864532.0,1,Provisionnal,Greifswald / OPAL,2021-01-03T12:53:06+01:00,NWE,-----------
1870,1AggregatesDEDE-GASPOOL-DE-TSO-0016entryTransmission2021-01-02T09:00:00+00:002021-01-02T10:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T10:00:00+01:00,2021-01-02T11:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0016,OPAL Gastransport GmbH & Co. KG,21X0000000011845,entry,Transmission,Transmission,2021,1,2,kWh/h,15864532.0,1,Provisionnal,Greifswald / OPAL,2021-01-03T05:30:18+01:00,NWE,-----------
1871,1AggregatesDEDE-GASPOOL-DE-TSO-0016entryTransmission2021-01-02T09:00:00+00:002021-01-02T10:00:00+00:00Physical Flow,1,Aggregates,Physical Flow,hour,2021-01-02T10:00:00+01:00,2021-01-02T11:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0016,OPAL Gastransport GmbH & Co. KG,21X0000000011845,entry,Transmission,Transmission,2021,1,2,kWh/h,22935982.0,1,Provisionnal,Greifswald / OPAL,2021-02-08T05:50:46+01:00,NWE,-----------
1875,1AggregatesDEDE-GASPOOL-DE-TSO-0017entryTransmission2021-01-02T09:00:00+00:002021-01-02T10:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T10:00:00+01:00,2021-01-02T11:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0017,NEL Gastransport GmbH,21X000000001143J,entry,Transmission,Transmission,2021,1,2,kWh/h,14291845.0,1,Provisionnal,Greifswald / NEL,2021-01-03T12:53:06+01:00,NWE,-----------
1876,1AggregatesDEDE-GASPOOL-DE-TSO-0017entryTransmission2021-01-02T09:00:00+00:002021-01-02T10:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T10:00:00+01:00,2021-01-02T11:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0017,NEL Gastransport GmbH,21X000000001143J,entry,Transmission,Transmission,2021,1,2,kWh/h,14291845.0,1,Provisionnal,Greifswald / NEL,2021-01-03T05:30:18+01:00,NWE,-----------
1877,1AggregatesDEDE-GASPOOL-DE-TSO-0017entryTransmission2021-01-02T09:00:00+00:002021-01-02T10:00:00+00:00Physical Flow,1,Aggregates,Physical Flow,hour,2021-01-02T10:00:00+01:00,2021-01-02T11:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0017,NEL Gastransport GmbH,21X000000001143J,entry,Transmission,Transmission,2021,1,2,kWh/h,50525093.0,1,Provisionnal,Greifswald / NEL,2021-02-08T05:50:46+01:00,NWE,-----------
1921,1AggregatesDEDE-GASPOOL-DE-TSO-0018entryTransmission2021-01-02T11:00:00+00:002021-01-02T12:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T12:00:00+01:00,2021-01-02T13:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0018,Fluxys Deutschland GmbH,21X0000000012388,entry,Transmission,Transmission,2021,1,2,kWh/h,10805611.0,2,Provisionnal,Greifswald / Fluxys Deutschland|Lubmin II,2021-01-29T11:54:06+01:00,NWE,-----------
1922,1AggregatesDEDE-GASPOOL-DE-TSO-0018entryTransmission2021-01-02T11:00:00+00:002021-01-02T12:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T12:00:00+01:00,2021-01-02T13:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0018,Fluxys Deutschland GmbH,21X0000000012388,entry,Transmission,Transmission,2021,1,2,kWh/h,10805611.0,2,Provisionnal,Greifswald / Fluxys Deutschland|Lubmin II,2021-01-03T08:32:51+01:00,NWE,-----------
1928,1AggregatesDEDE-GASPOOL-DE-TSO-0018exitTransmission2021-01-02T11:00:00+00:002021-01-02T12:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T12:00:00+01:00,2021-01-02T13:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0018,Fluxys Deutschland GmbH,21X0000000012388,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,2,Provisionnal,Greifswald / Fluxys Deutschland|Lubmin II,2021-01-29T11:54:06+01:00,NWE,-----------
1929,1AggregatesDEDE-GASPOOL-DE-TSO-0018exitTransmission2021-01-02T11:00:00+00:002021-01-02T12:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T12:00:00+01:00,2021-01-02T13:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0018,Fluxys Deutschland GmbH,21X0000000012388,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,2,Provisionnal,Greifswald / Fluxys Deutschland|Lubmin II,2021-01-03T08:32:51+01:00,NWE,-----------
1935,1AggregatesDEDE-GASPOOL-DE-TSO-0020entryTransmission2021-01-02T11:00:00+00:002021-01-02T12:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T12:00:00+01:00,2021-01-02T13:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0020,Lubmin-Brandov Gastransport GmbH,21X000000001309B,entry,Transmission,Transmission,2021,1,2,kWh/h,0.0,1,Provisionnal,Greifswald / LBTG,2021-01-03T08:32:51+01:00,NWE,-----------
1940,1AggregatesDEDE-GASPOOL-DE-TSO-0001entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0001,GASCADE Gastransport GmbH,21X-DE-H-A0A0A-L,entry,Transmission,Transmission,2021,1,2,kWh/h,12590410.0,1,Provisionnal,Lubmin II,2021-01-03T12:53:06+01:00,NWE,-----------
1941,1AggregatesDEDE-GASPOOL-DE-TSO-0001entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0001,GASCADE Gastransport GmbH,21X-DE-H-A0A0A-L,entry,Transmission,Transmission,2021,1,2,kWh/h,12590410.0,1,Provisionnal,Lubmin II,2021-01-03T05:30:18+01:00,NWE,-----------
1942,1AggregatesDEDE-GASPOOL-DE-TSO-0001entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Physical Flow,1,Aggregates,Physical Flow,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0001,GASCADE Gastransport GmbH,21X-DE-H-A0A0A-L,entry,Transmission,Transmission,2021,1,2,kWh/h,0.0,1,Provisionnal,Lubmin II,2021-02-08T05:50:46+01:00,NWE,-----------
1981,1AggregatesDEDE-NCG-----DE-TSO-0002entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0002,Thyssengas GmbH,21X-DE-G-A0A0A-U,entry,Transmission,Transmission,2021,1,2,kWh/h,1889249.0,1,Provisionnal,Emden (EPT1) (Thyssengas),2021-01-03T14:53:49+01:00,NWE,-----------
1982,1AggregatesDEDE-NCG-----DE-TSO-0002entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0002,Thyssengas GmbH,21X-DE-G-A0A0A-U,entry,Transmission,Transmission,2021,1,2,kWh/h,1889249.0,1,Provisionnal,Emden (EPT1) (Thyssengas),2021-01-03T05:30:18+01:00,NWE,-----------
1993,1AggregatesDEDE-NCG-----DE-TSO-0002exitTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0002,Thyssengas GmbH,21X-DE-G-A0A0A-U,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,1,Provisionnal,Emden (EPT1) (Thyssengas),2021-01-03T14:53:49+01:00,NWE,-----------
1994,1AggregatesDEDE-NCG-----DE-TSO-0002exitTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0002,Thyssengas GmbH,21X-DE-G-A0A0A-U,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,1,Provisionnal,Emden (EPT1) (Thyssengas),2021-01-03T05:30:18+01:00,NWE,-----------
2005,1AggregatesDEDE-GASPOOL-DE-TSO-0003entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0003,ONTRAS Gastransport GmbH,21X-DE-F-A0A0A-2,entry,Transmission,Transmission,2021,1,2,kWh/h,4113698.0,1,Provisionnal,Lubmin II,2021-01-05T10:54:40+01:00,NWE,-----------
2006,1AggregatesDEDE-GASPOOL-DE-TSO-0003entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0003,ONTRAS Gastransport GmbH,21X-DE-F-A0A0A-2,entry,Transmission,Transmission,2021,1,2,kWh/h,4113698.0,1,Provisionnal,Lubmin II,2021-03-25T17:04:55+01:00,NWE,-----------
2054,1AggregatesDEDE-GASPOOL-DE-TSO-0005entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0005,Gasunie Deutschland Transport Services GmbH,21X-DE-D-A0A0A-K,entry,Transmission,Transmission,2021,1,2,kWh/h,17914518.0,4,Provisionnal,Dornum / NETRA (GUD)|Emden (EPT1) (GUD)|Greifswald / GUD|Lubmin II,2021-02-21T12:51:34+01:00,NWE,-----------
2055,1AggregatesDEDE-GASPOOL-DE-TSO-0005entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0005,Gasunie Deutschland Transport Services GmbH,21X-DE-D-A0A0A-K,entry,Transmission,Transmission,2021,1,2,kWh/h,17914518.0,4,Provisionnal,Dornum / NETRA (GUD)|Emden (EPT1) (GUD)|Greifswald / GUD|Lubmin II,2021-01-03T05:30:18+01:00,NWE,-----------
2056,1AggregatesDEDE-GASPOOL-DE-TSO-0005entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Physical Flow,1,Aggregates,Physical Flow,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0005,Gasunie Deutschland Transport Services GmbH,21X-DE-D-A0A0A-K,entry,Transmission,Transmission,2021,1,2,kWh/h,71792156.0,4,Provisionnal,Dornum / NETRA (GUD)|Emden (EPT1) (GUD)|Greifswald / GUD|Lubmin II,2021-02-21T11:40:47+01:00,NWE,-----------
2071,1AggregatesDEDE-GASPOOL-DE-TSO-0005exitTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0005,Gasunie Deutschland Transport Services GmbH,21X-DE-D-A0A0A-K,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,2,Provisionnal,Dornum / NETRA (GUD)|Emden (EPT1) (GUD),2021-02-21T12:51:34+01:00,NWE,-----------
2072,1AggregatesDEDE-GASPOOL-DE-TSO-0005exitTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0005,Gasunie Deutschland Transport Services GmbH,21X-DE-D-A0A0A-K,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,2,Provisionnal,Dornum / NETRA (GUD)|Emden (EPT1) (GUD),2021-01-03T05:30:18+01:00,NWE,-----------
2115,1AggregatesDEDE-GASPOOL-DE-TSO-0009entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,entry,Transmission,Transmission,2021,1,2,kWh/h,1659658.0,1,Provisionnal,Dornum GASPOOL,2021-01-31T09:56:22+01:00,NWE,-----------
2116,1AggregatesDEDE-GASPOOL-DE-TSO-0009entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,entry,Transmission,Transmission,2021,1,2,kWh/h,1659658.0,1,Provisionnal,Dornum GASPOOL,2021-01-04T14:49:04+01:00,NWE,-----------
2117,1AggregatesDEDE-GASPOOL-DE-TSO-0009entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Physical Flow,1,Aggregates,Physical Flow,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,entry,Transmission,Transmission,2021,1,2,kWh/h,21626052.69,1,Provisionnal,Dornum GASPOOL,2021-01-05T12:41:06+01:00,NWE,-----------
2124,1AggregatesDEDE-NCG-----DE-TSO-0009entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,entry,Transmission,Transmission,2021,1,2,kWh/h,10116839.0,2,Provisionnal,Dornum / NETRA (OGE)|Emden (EPT1) (OGE),2021-02-01T09:50:30+01:00,NWE,-----------
2125,1AggregatesDEDE-NCG-----DE-TSO-0009entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,entry,Transmission,Transmission,2021,1,2,kWh/h,10116839.0,2,Provisionnal,Dornum / NETRA (OGE)|Emden (EPT1) (OGE),2021-01-04T14:49:04+01:00,NWE,-----------
2126,1AggregatesDEDE-NCG-----DE-TSO-0009entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Physical Flow,1,Aggregates,Physical Flow,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,entry,Transmission,Transmission,2021,1,2,kWh/h,21626052.69,2,Provisionnal,Dornum / NETRA (OGE)|Emden (EPT1) (OGE),2021-01-05T12:41:06+01:00,NWE,-----------
2149,1AggregatesDEDE-GASPOOL-DE-TSO-0009exitTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,1,Provisionnal,Dornum GASPOOL,2021-01-05T13:43:57+01:00,NWE,-----------
2150,1AggregatesDEDE-GASPOOL-DE-TSO-0009exitTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,1,Provisionnal,Dornum GASPOOL,2021-01-04T14:49:04+01:00,NWE,-----------
2151,1AggregatesDEDE-GASPOOL-DE-TSO-0009exitTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Physical Flow,1,Aggregates,Physical Flow,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,1,Provisionnal,Dornum GASPOOL,2021-01-05T12:41:06+01:00,NWE,-----------
2157,1AggregatesDEDE-NCG-----DE-TSO-0009exitTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,2,Provisionnal,Dornum / NETRA (OGE)|Emden (EPT1) (OGE),2021-01-05T13:43:57+01:00,NWE,-----------
2158,1AggregatesDEDE-NCG-----DE-TSO-0009exitTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,2,Provisionnal,Dornum / NETRA (OGE)|Emden (EPT1) (OGE),2021-01-04T14:49:04+01:00,NWE,-----------
2159,1AggregatesDEDE-NCG-----DE-TSO-0009exitTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Physical Flow,1,Aggregates,Physical Flow,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-NCG-----,NCG,NCG Balancing Zone,DE-TSO-0009,Open Grid Europe GmbH,21X-DE-C-A0A0A-T,exit,Transmission,Transmission,2021,1,2,kWh/h,0.0,2,Provisionnal,Dornum / NETRA (OGE)|Emden (EPT1) (OGE),2021-01-05T12:41:06+01:00,NWE,-----------
2182,1AggregatesDEDE-GASPOOL-DE-TSO-0016entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0016,OPAL Gastransport GmbH & Co. KG,21X0000000011845,entry,Transmission,Transmission,2021,1,2,kWh/h,15864532.0,1,Provisionnal,Greifswald / OPAL,2021-01-03T12:53:06+01:00,NWE,-----------
2183,1AggregatesDEDE-GASPOOL-DE-TSO-0016entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0016,OPAL Gastransport GmbH & Co. KG,21X0000000011845,entry,Transmission,Transmission,2021,1,2,kWh/h,15864532.0,1,Provisionnal,Greifswald / OPAL,2021-01-03T05:30:18+01:00,NWE,-----------
2184,1AggregatesDEDE-GASPOOL-DE-TSO-0016entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Physical Flow,1,Aggregates,Physical Flow,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0016,OPAL Gastransport GmbH & Co. KG,21X0000000011845,entry,Transmission,Transmission,2021,1,2,kWh/h,22930437.0,1,Provisionnal,Greifswald / OPAL,2021-02-08T05:50:46+01:00,NWE,-----------
2188,1AggregatesDEDE-GASPOOL-DE-TSO-0017entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0017,NEL Gastransport GmbH,21X000000001143J,entry,Transmission,Transmission,2021,1,2,kWh/h,14291845.0,1,Provisionnal,Greifswald / NEL,2021-01-03T12:53:06+01:00,NWE,-----------
2189,1AggregatesDEDE-GASPOOL-DE-TSO-0017entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0017,NEL Gastransport GmbH,21X000000001143J,entry,Transmission,Transmission,2021,1,2,kWh/h,14291845.0,1,Provisionnal,Greifswald / NEL,2021-01-03T05:30:18+01:00,NWE,-----------
2190,1AggregatesDEDE-GASPOOL-DE-TSO-0017entryTransmission2021-01-02T10:00:00+00:002021-01-02T11:00:00+00:00Physical Flow,1,Aggregates,Physical Flow,hour,2021-01-02T11:00:00+01:00,2021-01-02T12:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0017,NEL Gastransport GmbH,21X000000001143J,entry,Transmission,Transmission,2021,1,2,kWh/h,50385159.0,1,Provisionnal,Greifswald / NEL,2021-02-08T05:50:46+01:00,NWE,-----------
2234,1AggregatesDEDE-GASPOOL-DE-TSO-0018entryTransmission2021-01-02T12:00:00+00:002021-01-02T13:00:00+00:00Allocation,1,Aggregates,Allocation,hour,2021-01-02T13:00:00+01:00,2021-01-02T14:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0018,Fluxys Deutschland GmbH,21X0000000012388,entry,Transmission,Transmission,2021,1,2,kWh/h,10805611.0,2,Provisionnal,Greifswald / Fluxys Deutschland|Lubmin II,2021-01-29T11:54:06+01:00,NWE,-----------
2235,1AggregatesDEDE-GASPOOL-DE-TSO-0018entryTransmission2021-01-02T12:00:00+00:002021-01-02T13:00:00+00:00Nomination/Renomination,1,Aggregates,Nomination/Renomination,hour,2021-01-02T13:00:00+01:00,2021-01-02T14:00:00+01:00,DE,Germany,DE-GASPOOL-,GASPOOL,GASPOOL Balancing Zone,DE-TSO-0018,Fluxys Deutschland GmbH,21X0000000012388,entry,Transmission,Transmission,2021,1,2,kWh/h,10805611.0,2,Provisionnal,Greifswald / Fluxys Deutschland|Lubmin II,2021-01-03T08:32:51+01:00,NWE,-----------
