;adjacent_bz_key;adjacent_systems_label;bz_key;country_key;direction_key;indicator;period_from;period_to;region_key;value
32;-----------;Final Consumers;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;-34158537.0
33;-----------;Final Consumers;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;-309140307.1
34;-----------;Production;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;59809759.0
35;-----------;Production;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;67720603.0
36;-----------;Production;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;130956698.014
37;-----------;Storage;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;668824826.0
38;-----------;Storage;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;668824826.0
39;-----------;Storage;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;759730918.943
40;-----------;Transmission;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;1854284474.0
41;-----------;Transmission;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;1854284474.0
42;-----------;Transmission;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;3977582283.2
43;CZ---------;Czech;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;-1257617910.0
44;CZ---------;Czech;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;-1257617910.0
45;CZ---------;Czech;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;-3004442519.0
46;DE-NCG-----;NCG;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;-166407744.0
47;DE-NCG-----;NCG;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;-166407744.0
48;DE-NCG-----;NCG;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;-577312207.0
49;E-LUX------;BeLux;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;-88590144.0
50;E-LUX------;BeLux;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;-88590144.0
51;E-LUX------;BeLux;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;-73272405.0
52;K-SE-------;Joint Bal Zone DK/SE;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;-64560784.0
53;K-SE-------;Joint Bal Zone DK/SE;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;-64560784.0
54;K-SE-------;Joint Bal Zone DK/SE;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;-69745253.0
55;NL---------;Netherlands;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;-271605928.0
56;NL---------;Netherlands;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;-271605928.0
57;NL---------;Netherlands;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;-394447102.0
58;PL---------;Poland H-gas;DE-GASPOOL-;DE;aggregated;Allocation;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;-3912000.0
59;PL---------;Poland H-gas;DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;-3912000.0
60;PL---------;Poland H-gas;DE-GASPOOL-;DE;aggregated;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;-4033977.0
61;PL-YAMAL---;TGPS (YAMAL);DE-GASPOOL-;DE;aggregated;Allocation;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;857672832.0
62;PL-YAMAL---;TGPS (YAMAL);DE-GASPOOL-;DE;aggregated;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;857672832.0
