;period_from;period_to;point_type;cross_border_point_type;eu_relationship;region_key;adjacent_region_key;indicator;direction_key;value
29;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;NE;Physical Flow;exit;0.0
30;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;CE;Physical Flow;entry;4797586796.0
31;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;CE;Physical Flow;exit;4696243321.0
32;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NE;Physical Flow;entry;0.0
33;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NE;Physical Flow;exit;139490506.0
34;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NWE;Physical Flow;entry;2794346633.4760003
35;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NWE;Physical Flow;exit;2486219930.54
36;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;WE;Physical Flow;entry;356145949.0
37;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;WE;Physical Flow;exit;24339562.0
38;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;Cross-Border Transmission IP within EU;In-country EU;within EU;NWE;NWE;Physical Flow;entry;982939026.0
39;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;Cross-Border Transmission IP within EU;In-country EU;within EU;NWE;NWE;Physical Flow;exit;0.0
40;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;Storage point;In-country EU;within EU;NWE;NWE;Physical Flow;entry;2254921159.02
41;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;Storage point;In-country EU;within EU;NWE;NWE;Physical Flow;exit;184066219.04799992
42;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;Transmission Point;In-country EU;within EU;NWE;NWE;Physical Flow;entry;1670238286.46
43;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;Transmission Point;In-country EU;within EU;NWE;NWE;Physical Flow;exit;1831487580.176
44;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Aggregated Point - Final Consumers;In-country EU;within EU;NWE;NWE;Physical Flow;exit;434855900.20000005
45;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Aggregated production point - TP;In-country EU;within EU;NWE;NWE;Physical Flow;entry;129292666.37
46;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU;Cross-Border EU|Non-EU;between EU and Non-EU;NWE;CH/IT;Physical Flow;entry;0.0
47;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU;Cross-Border EU|Non-EU;between EU and Non-EU;NWE;CH/IT;Physical Flow;exit;1078630782.8
48;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;EE;Physical Flow;entry;5939644850.0
49;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;EE;Physical Flow;exit;0.0
50;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;NE;Physical Flow;entry;2966095877.6000004
51;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;NE;Physical Flow;exit;0.0
52;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;CE;Physical Flow;entry;4703212714.0
53;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;CE;Physical Flow;exit;4566896121.0
54;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NE;Physical Flow;entry;0.0
55;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NE;Physical Flow;exit;143110628.0
56;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NWE;Physical Flow;entry;2747257348.3940005
57;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;NWE;Physical Flow;exit;2499053435.94
58;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;WE;Physical Flow;entry;337990452.0
59;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Cross-Border Transmission IP within EU;Cross-Border EU|EU;within EU;NWE;WE;Physical Flow;exit;26002840.0
60;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Cross-Border Transmission IP within EU;In-country EU;within EU;NWE;NWE;Physical Flow;entry;960176898.0
61;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Cross-Border Transmission IP within EU;In-country EU;within EU;NWE;NWE;Physical Flow;exit;0.0
62;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Storage point;In-country EU;within EU;NWE;NWE;Physical Flow;entry;2310715166.02
63;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Storage point;In-country EU;within EU;NWE;NWE;Physical Flow;exit;118967809.74399996
64;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Transmission Point;In-country EU;within EU;NWE;NWE;Physical Flow;entry;1665895125.2600002
65;2021-01-03T06:00:00+01:00;2021-01-04T06:00:00+01:00;Transmission Point;In-country EU;within EU;NWE;NWE;Physical Flow;exit;1887349181.782
66;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Aggregated Point - Final Consumers;In-country EU;within EU;NWE;NWE;Physical Flow;exit;585100742.7
67;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Aggregated production point - TP;In-country EU;within EU;NWE;NWE;Physical Flow;entry;131692735.39
68;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU;Cross-Border EU|Non-EU;between EU and Non-EU;NWE;CH/IT;Physical Flow;entry;0.0
69;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU;Cross-Border EU|Non-EU;between EU and Non-EU;NWE;CH/IT;Physical Flow;exit;1165440623.2
70;2021-01-04T06:00:00+01:00;2021-01-05T06:00:00+01:00;Cross-Border Transmission IP between EU and Non-EU (import);Cross-Border EU|Non-EU;between EU and Non-EU;NWE;EE;Physical Flow;entry;5900447028.0
