;id;message_id;market_participant_key;market_participant_eic;market_participant_name;message_type;publication_date_time;thread_id;version_number;event_status;event_type;event_start;event_stop;unavailability_type;unavailability_reason;unit_measure;balancing_zone_key;balancing_zone_eic;balancing_zone_name;affected_asset_identifier;affected_asset_name;affected_asset_eic;direction;unavailable_capacity;available_capacity;technical_capacity;remarks;last_update_date_time;share_point_point_id;is_latest_version;share_point_publication_id;u_m_m_type;is_archived
50;18321X-DE-D-A0A0A-K001;20092521X-DE-D-A0A0A-K001_001;DE-TSO-0005;21X-DE-D-A0A0A-K;Gasunie Deutschland Transport Services GmbH;Other;2020-09-25T19:22:00+02:00;20092521X-DE-D-A0A0A-K001;001;Active;;2020-09-25T19:22:00+02:00;;;;;;;;;;;;;;;Due to technical problems, it may be possible that the matching process will slow down and the messages could be delayed or incomplete. Our IT-provider is already working to solve this problem. Thank you for your understanding.;2020-09-25T20:16:14+02:00;;No;21X-DE-D-A0A0A-KAutomatic183;Automatic;
51;18321X-DE-D-A0A0A-K002;20092521X-DE-D-A0A0A-K001_002;DE-TSO-0005;21X-DE-D-A0A0A-K;Gasunie Deutschland Transport Services GmbH;Other;2020-09-25T20:11:00+02:00;20092521X-DE-D-A0A0A-K001;002;Dismissed;;2020-09-25T19:22:00+02:00;;;;;;;;;;;;;;;Due to technical problems, it may be possible that the matching process will slow down and the messages could be delayed or incomplete. Our IT-provider is already working to solve this problem. Thank you for your understanding.;2020-09-25T20:16:14+02:00;;Yes;21X-DE-D-A0A0A-KAutomatic183;Automatic;
52;18521X-DE-D-A0A0A-K001;20100721X-DE-D-A0A0A-K001_001;DE-TSO-0005;21X-DE-D-A0A0A-K;Gasunie Deutschland Transport Services GmbH;Other;2020-10-07T20:23:00+02:00;20100721X-DE-D-A0A0A-K001;001;Active;;2020-10-07T20:22:00+02:00;;;;;;;;;;;;;;;Due to technical problems, it may be possible that the matching process will slow down and the messages could be delayed or incomplete. Our IT-provider is already working to solve this problem. Thank you for your understanding.;2020-10-29T15:10:24+01:00;;No;21X-DE-D-A0A0A-KAutomatic185;Automatic;
53;3870001;20101221X000000001376X001_001;AL-TSO-0001;21X000000001376X;Trans Adriatic Pipeline AG;Other;2020-10-12T17:55:48+02:00;20101221X000000001376X001;001;Active;;2020-10-12T18:00:00+02:00;;;;;;;;;;;;;;;"After almost 4 and a half years since the start of construction, the Trans Adriatic Pipeline is substantially complete. 
 
TAP pipeline has been filled with natural gas from the Greek-Turkish border up to the pipeline receiving terminal in Southern Italy. TAP is finalising preparations for launching commercial operations and offering capacity to the market in alignment with adjacent TSOs. 

The Interconnection Point between TAP pipeline and the natural gas transmission system of Snam Rete Gas is expected to be completed and ready to transport gas by mid-November 2020. ";2020-10-12T18:01:21+02:00;0.0;Yes;21X000000001376XManual387;;
54;18621X-DE-D-A0A0A-K001;20102821X-DE-D-A0A0A-K001_001;DE-TSO-0005;21X-DE-D-A0A0A-K;Gasunie Deutschland Transport Services GmbH;Other;2020-10-28T17:17:00+01:00;20102821X-DE-D-A0A0A-K001;001;Active;;2020-10-28T17:16:00+01:00;;;;;;;;;;;;;;;Due to technical problems, it may be possible that the matching process will slow down and the messages could be delayed or incomplete. Our IT-provider is already working to solve this problem. Thank you for your understanding.;2020-10-28T20:10:30+01:00;;No;21X-DE-D-A0A0A-KAutomatic186;Automatic;
55;18521X-DE-D-A0A0A-K002;20100721X-DE-D-A0A0A-K001_002;DE-TSO-0005;21X-DE-D-A0A0A-K;Gasunie Deutschland Transport Services GmbH;Other;2020-10-29T15:00:00+01:00;20100721X-DE-D-A0A0A-K001;002;Dismissed;;2020-10-07T20:22:00+02:00;;;;;;;;;;;;;;;Due to technical problems, it may be possible that the matching process will slow down and the messages could be delayed or incomplete. Our IT-provider is already working to solve this problem. Thank you for your understanding.;2020-10-29T15:10:24+01:00;;Yes;21X-DE-D-A0A0A-KAutomatic185;Automatic;
56;4020001;20111121X000000001376X001_001;AL-TSO-0001;21X000000001376X;Trans Adriatic Pipeline AG;Other;2020-11-11T17:55:24+01:00;20111121X000000001376X001;001;Active;;2020-12-21T06:00:00+01:00;;;;;;;;;;;;;;;The TAP-DESFA interconnection point at Nea Mesimvria, Greece, will be ready for commercial operations on the 21st of December 2020.;2020-11-11T18:00:23+01:00;0.0;Yes;21X000000001376XManual402;;
57;4030001;20111221X000000001376X001_001;AL-TSO-0001;21X000000001376X;Trans Adriatic Pipeline AG;Other;2020-11-12T18:00:09+01:00;20111221X000000001376X001;001;Active;;2020-11-15T06:00:00+01:00;;;;;;;;;;;;;;;TAP will be offering forward day-ahead capacity on the PRISMA platform starting with gas day 15 November 2020, for the IP Kipoi and IP Melendugno.;2020-11-12T18:00:42+01:00;0.0;Yes;21X000000001376XManual403;;
58;4060001;20112021X000000001376X001_001;AL-TSO-0001;21X000000001376X;Trans Adriatic Pipeline AG;Other;2020-11-20T16:06:09+01:00;20112021X000000001376X001;001;Active;;2020-12-21T06:00:00+01:00;;;;;;;;;;;;;;;TAP will be able to provide Commercial Reverse Capacity starting from Gas Day 21 December 2020. This capacity product will be offered through a single auction as a combination of the entry capacity at the IP of Melendugno and the exit capacity at IP of Nea Mesimvria. ;2020-11-20T16:10:44+01:00;0.0;Yes;21X000000001376XManual406;;
59;18921X-DE-D-A0A0A-K001;20120121X-DE-D-A0A0A-K001_001;DE-TSO-0005;21X-DE-D-A0A0A-K;Gasunie Deutschland Transport Services GmbH;Other;2020-12-01T20:15:00+01:00;20120121X-DE-D-A0A0A-K001;001;Active;;2020-12-01T20:15:00+01:00;;;;;;;;;;;;;;;Due to technical problems, it may be possible that the matching process will slow down and the messages could be delayed or incomplete. Our IT-provider is already working to solve this problem. Thank you for your understanding.;2020-12-04T12:31:59+01:00;;No;21X-DE-D-A0A0A-KAutomatic189;Automatic;
