;adjacent_bz_key;adjacent_systems_label;country_key;direction_key;indicator;period_from;period_to;region_key;value
40;R----------;TRF;BE;exit;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;0
41;R----------;TRF;BE;entry;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;0
42;R----------;TRF;BE;exit;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;311270325
43;UK-IUK-----;IUK;BE;entry;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;0
44;UK-IUK-----;IUK;BE;exit;Nomination/Renomination;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;0
45;UK-IUK-----;IUK;BE;entry;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;0
46;UK-IUK-----;IUK;BE;exit;Physical Flow;2021-01-01T06:00:00+01:00;2021-01-02T06:00:00+01:00;WE;392200936
47;-----------;Distribution;BE;entry;Allocation;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;159475
48;-----------;Distribution;BE;exit;Allocation;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;459575592
49;-----------;Distribution;BE;entry;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
50;-----------;Distribution;BE;exit;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;459416117
51;-----------;Final Consumers;BE;entry;Allocation;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
52;-----------;Final Consumers;BE;exit;Allocation;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;282131690
53;-----------;Final Consumers;BE;exit;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;282469477
54;-----------;LNG Terminals;BE;entry;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
55;-----------;LNG Terminals;BE;exit;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
56;-----------;LNG Terminals;BE;entry;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;69845265
57;-----------;LNG Terminals;BE;exit;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
58;-----------;Storage;BE;entry;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
59;-----------;Storage;BE;exit;Nomination/Renomination;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
60;-----------;Storage;BE;entry;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;121719190
61;-----------;Storage;BE;exit;Physical Flow;2021-01-02T06:00:00+01:00;2021-01-03T06:00:00+01:00;WE;0
