;capacity_booking_status;capacity_commercial_type;capacity_type;data_set;direction_key;flow_status;general_remarks;id;indicator;interruption_type;is_cam_relevant;is_n_a;is_unlimited;item_remarks;last_update_date_time;operator_key;operator_label;original_period_from;period_from;period_to;period_type;point_key;point_label;restoration_information;tso_eic_code;tso_item_identifier;unit;value
30;;N/A;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00034exitActualInterruptibleN/AkWh/h;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00034;Final consumers (BE) (Fluxys) Industrial clients L-zone;;21X-BE-A-A0A0A-Y;21Y000000000045A;kWh/h;0.0
31;;N/A;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00034exitPlannedInterruptibleN/AkWh/h;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00034;Final consumers (BE) (Fluxys) Industrial clients L-zone;;21X-BE-A-A0A0A-Y;21Y000000000045A;kWh/h;0.0
32;;Booked;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00033entryActualInterruptibleBookedkWh/d;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;;21X-BE-A-A0A0A-Y;21Y0000000000468;kWh/d;
33;;Booked;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00033entryPlannedInterruptibleBookedkWh/d;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;;21X-BE-A-A0A0A-Y;21Y0000000000468;kWh/d;
34;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00033entryActualInterruptibleN/AkWh/d;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;;21X-BE-A-A0A0A-Y;21Y0000000000468;kWh/d;0.0
35;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00033entryPlannedInterruptibleN/AkWh/d;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;;21X-BE-A-A0A0A-Y;21Y0000000000468;kWh/d;0.0
36;;Booked;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00033exitActualInterruptibleBookedkWh/d;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;;21X-BE-A-A0A0A-Y;21Y0000000000468;kWh/d;
37;;Booked;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00033exitPlannedInterruptibleBookedkWh/d;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;;21X-BE-A-A0A0A-Y;21Y0000000000468;kWh/d;
38;;N/A;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00033exitActualInterruptibleN/AkWh/d;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;;21X-BE-A-A0A0A-Y;21Y0000000000468;kWh/d;0.0
39;;N/A;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00033exitPlannedInterruptibleN/AkWh/d;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;;21X-BE-A-A0A0A-Y;21Y0000000000468;kWh/d;0.0
40;;Booked;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00033entryActualInterruptibleBookedkWh/h;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;;21X-BE-A-A0A0A-Y;21Y0000000000468;kWh/h;
41;;Booked;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00033entryPlannedInterruptibleBookedkWh/h;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;;21X-BE-A-A0A0A-Y;21Y0000000000468;kWh/h;
42;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00033entryActualInterruptibleN/AkWh/h;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;;21X-BE-A-A0A0A-Y;21Y0000000000468;kWh/h;0.0
43;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00033entryPlannedInterruptibleN/AkWh/h;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;;21X-BE-A-A0A0A-Y;21Y0000000000468;kWh/h;0.0
44;;Booked;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00033exitActualInterruptibleBookedkWh/h;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;;21X-BE-A-A0A0A-Y;21Y0000000000468;kWh/h;
45;;Booked;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00033exitPlannedInterruptibleBookedkWh/h;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;;21X-BE-A-A0A0A-Y;21Y0000000000468;kWh/h;
46;;N/A;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00033exitActualInterruptibleN/AkWh/h;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;;21X-BE-A-A0A0A-Y;21Y0000000000468;kWh/h;0.0
47;;N/A;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00033exitPlannedInterruptibleN/AkWh/h;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00033;Final consumers (BE) (Fluxys) Industrial clients H-zone;;21X-BE-A-A0A0A-Y;21Y0000000000468;kWh/h;0.0
48;;Booked;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001DIS-00192entryActualInterruptibleBookedkWh/d;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;DIS-00192;Distribution (BE) L-zone;;21X-BE-A-A0A0A-Y;21Y0000000000476;kWh/d;
