;capacity_booking_status;capacity_commercial_type;capacity_type;data_set;direction_key;flow_status;general_remarks;id;indicator;interruption_type;is_cam_relevant;is_n_a;is_unlimited;item_remarks;last_update_date_time;operator_key;operator_label;original_period_from;period_from;period_to;period_type;point_key;point_label;restoration_information;tso_eic_code;tso_item_identifier;unit;value
10;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00035entryActualInterruptibleN/AkWh/h;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;;21X-BE-A-A0A0A-Y;21Y000000000044C;kWh/h;0.0
11;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00035entryPlannedInterruptibleN/AkWh/h;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;;21X-BE-A-A0A0A-Y;21Y000000000044C;kWh/h;0.0
12;;Booked;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00035exitActualInterruptibleBookedkWh/h;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;;21X-BE-A-A0A0A-Y;21Y000000000044C;kWh/h;
13;;Booked;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00035exitPlannedInterruptibleBookedkWh/h;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;;21X-BE-A-A0A0A-Y;21Y000000000044C;kWh/h;
14;;N/A;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00035exitActualInterruptibleN/AkWh/h;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;;21X-BE-A-A0A0A-Y;21Y000000000044C;kWh/h;0.0
15;;N/A;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00035exitPlannedInterruptibleN/AkWh/h;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00035;Final consumers (BE) (Fluxys) Power Plants H-zone;;21X-BE-A-A0A0A-Y;21Y000000000044C;kWh/h;0.0
16;;Booked;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00034entryActualInterruptibleBookedkWh/d;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00034;Final consumers (BE) (Fluxys) Industrial clients L-zone;;21X-BE-A-A0A0A-Y;21Y000000000045A;kWh/d;
17;;Booked;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00034entryPlannedInterruptibleBookedkWh/d;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00034;Final consumers (BE) (Fluxys) Industrial clients L-zone;;21X-BE-A-A0A0A-Y;21Y000000000045A;kWh/d;
18;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00034entryActualInterruptibleN/AkWh/d;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00034;Final consumers (BE) (Fluxys) Industrial clients L-zone;;21X-BE-A-A0A0A-Y;21Y000000000045A;kWh/d;0.0
19;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00034entryPlannedInterruptibleN/AkWh/d;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00034;Final consumers (BE) (Fluxys) Industrial clients L-zone;;21X-BE-A-A0A0A-Y;21Y000000000045A;kWh/d;0.0
20;;Booked;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00034exitActualInterruptibleBookedkWh/d;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00034;Final consumers (BE) (Fluxys) Industrial clients L-zone;;21X-BE-A-A0A0A-Y;21Y000000000045A;kWh/d;
21;;Booked;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00034exitPlannedInterruptibleBookedkWh/d;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00034;Final consumers (BE) (Fluxys) Industrial clients L-zone;;21X-BE-A-A0A0A-Y;21Y000000000045A;kWh/d;
22;;N/A;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00034exitActualInterruptibleN/AkWh/d;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00034;Final consumers (BE) (Fluxys) Industrial clients L-zone;;21X-BE-A-A0A0A-Y;21Y000000000045A;kWh/d;0.0
23;;N/A;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00034exitPlannedInterruptibleN/AkWh/d;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00034;Final consumers (BE) (Fluxys) Industrial clients L-zone;;21X-BE-A-A0A0A-Y;21Y000000000045A;kWh/d;0.0
24;;Booked;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00034entryActualInterruptibleBookedkWh/h;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00034;Final consumers (BE) (Fluxys) Industrial clients L-zone;;21X-BE-A-A0A0A-Y;21Y000000000045A;kWh/h;
25;;Booked;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00034entryPlannedInterruptibleBookedkWh/h;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00034;Final consumers (BE) (Fluxys) Industrial clients L-zone;;21X-BE-A-A0A0A-Y;21Y000000000045A;kWh/h;
26;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00034entryActualInterruptibleN/AkWh/h;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00034;Final consumers (BE) (Fluxys) Industrial clients L-zone;;21X-BE-A-A0A0A-Y;21Y000000000045A;kWh/h;0.0
27;;N/A;Interruptible;5;entry;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00034entryPlannedInterruptibleN/AkWh/h;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00034;Final consumers (BE) (Fluxys) Industrial clients L-zone;;21X-BE-A-A0A0A-Y;21Y000000000045A;kWh/h;0.0
28;;Booked;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00034exitActualInterruptibleBookedkWh/h;;Actual;;;;No actual interruptions of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00034;Final consumers (BE) (Fluxys) Industrial clients L-zone;;21X-BE-A-A0A0A-Y;21Y000000000045A;kWh/h;
29;;Booked;Interruptible;5;exit;;;52017-01-01 03:00:00 +00:002019-01-01 03:00:00 +00:0021X-BE-A-A0A0A-YBE-TSO-0001FNC-00034exitPlannedInterruptibleBookedkWh/h;;Planned;;;;No planned interruption of Interruptible capacity;2018-01-22T11:32:31+01:00;BE-TSO-0001;Fluxys Belgium;;2017-01-01T04:00:00+01:00;2019-01-01T04:00:00+01:00;;FNC-00034;Final consumers (BE) (Fluxys) Industrial clients L-zone;;21X-BE-A-A0A0A-Y;21Y000000000045A;kWh/h;
