;booking_platform_key;booking_platform_label;booking_platform_u_r_l;capacity_booking_status;capacity_type;data_set;direction_key;flow_status;general_remarks;id;id_point_type;indicator;interruption_calculation_remark;interruption_type;is_archived;is_cam_relevant;is_cmp_relevant;is_n_a;is_unlimited;item_remarks;last_update_date_time;operator_key;operator_label;original_period_from;period_from;period_to;period_type;point_key;point_label;point_type;restoration_information;tso_eic_code;tso_item_identifier;unit;value
11;;;;;;1;exit;Provisional;;1Allocationday2018-01-062018-01-07DE-TSO-0018ITP-00297exitkWh/d;1;Allocation;;;False;False;False;;;;2021-01-15T18:59:10+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-06T06:00:00+01:00;2018-01-07T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;0
12;;;;;;1;entry;Provisional;;1Allocationday2018-01-072018-01-08DE-TSO-0018ITP-00297entrykWh/d;1;Allocation;;;False;True;True;;;;2021-01-15T18:34:36+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-07T06:00:00+01:00;2018-01-08T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;163950864
13;;;;;;1;exit;Provisional;;1Allocationday2018-01-072018-01-08DE-TSO-0018ITP-00297exitkWh/d;1;Allocation;;;False;False;False;;;;2021-01-15T19:27:08+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-07T06:00:00+01:00;2018-01-08T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;0
14;;;;;;1;entry;Provisional;;1Allocationday2018-01-082018-01-09DE-TSO-0018ITP-00297entrykWh/d;1;Allocation;;;False;True;True;;;;2021-01-15T19:29:39+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-08T06:00:00+01:00;2018-01-09T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;163950864
15;;;;;;1;exit;Provisional;;1Allocationday2018-01-082018-01-09DE-TSO-0018ITP-00297exitkWh/d;1;Allocation;;;False;False;False;;;;2021-01-15T19:00:13+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-08T06:00:00+01:00;2018-01-09T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;0
16;;;;;;1;entry;Provisional;;1Allocationday2018-01-092018-01-10DE-TSO-0018ITP-00297entrykWh/d;1;Allocation;;;False;True;True;;;;2021-01-15T19:00:04+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-09T06:00:00+01:00;2018-01-10T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;163950864
17;;;;;;1;exit;Provisional;;1Allocationday2018-01-092018-01-10DE-TSO-0018ITP-00297exitkWh/d;1;Allocation;;;False;False;False;;;;2021-01-15T18:59:10+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-09T06:00:00+01:00;2018-01-10T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;0
18;;;;;;1;entry;Provisional;;1Allocationday2018-01-102018-01-11DE-TSO-0018ITP-00297entrykWh/d;1;Allocation;;;False;True;True;;;;2021-01-15T18:57:07+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-10T06:00:00+01:00;2018-01-11T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;163950864
19;;;;;;1;exit;Provisional;;1Allocationday2018-01-102018-01-11DE-TSO-0018ITP-00297exitkWh/d;1;Allocation;;;False;False;False;;;;2021-01-15T18:35:02+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-10T06:00:00+01:00;2018-01-11T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;0
20;;;;;;1;entry;Provisional;;1Allocationday2018-01-112018-01-12DE-TSO-0018ITP-00297entrykWh/d;1;Allocation;;;False;True;True;;;;2021-01-15T19:29:39+01:00;DE-TSO-0018;Fluxys Deutschland;;2018-01-11T06:00:00+01:00;2018-01-12T06:00:00+01:00;day;ITP-00297;Greifswald / Fluxys Deutschland;Cross-Border Transmission IP between EU and Non-EU (import);;21X0000000012388;21Z000000000255M;kWh/d;163950864
